"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Drest.tn E-Commerce","Authentification","Connexion avec email vide","0","0","0","1","0"
"Drest.tn E-Commerce","Navigation","Navigation vers la section Femme","0","0","0","1","0"
"Drest.tn E-Commerce","Navigation","Navigation vers la section Enfants","0","0","0","1","0"
"Drest.tn E-Commerce","Navigation","Navigation vers la section Sport","0","0","0","1","0"
"Drest.tn E-Commerce","Catalogue Produits","Prix du produit","0","0","0","1","0"
"Drest.tn E-Commerce","Catalogue Produits","Affichage des produits","0","0","0","1","0"
"Drest.tn E-Commerce","Navigation","Navigation vers la section Homme","0","0","0","1","0"
"Drest.tn E-Commerce","Panier d'achat","Chargement de la page panier","0","0","0","1","0"
"Drest.tn E-Commerce","Tests End-to-End","Parcours navigation et recherche","0","0","0","1","0"
"Drest.tn E-Commerce","Authentification","Connexion avec mot de passe vide","0","0","0","1","0"
"Drest.tn E-Commerce","Catalogue Produits","Chargement de la page catégorie","0","0","0","1","0"
"Drest.tn E-Commerce","Authentification","","0","1","0","0","0"
"Drest.tn E-Commerce","Catalogue Produits","Titre du produit","0","0","0","1","0"
"Drest.tn E-Commerce","Panier d'achat","","0","1","0","0","0"
"Drest.tn E-Commerce","Panier d'achat","Ajout d'un produit au panier","0","0","0","1","0"
"Drest.tn E-Commerce","Tests End-to-End","","0","1","0","0","0"
"Drest.tn E-Commerce","Authentification","Connexion avec identifiants invalides","0","0","0","1","0"
"Drest.tn E-Commerce","Recherche de produits","Recherche avec mot-clé inexistant","0","0","0","1","0"
"Drest.tn E-Commerce","Page d'accueil","Menu principal","0","0","0","1","0"
"Drest.tn E-Commerce","Authentification","Connexion avec identifiants valides","0","0","0","1","0"
"Drest.tn E-Commerce","Authentification","Chargement de la page login","0","0","0","1","0"
"Drest.tn E-Commerce","Page d'accueil","URL de la page d'accueil","0","0","0","1","0"
"Drest.tn E-Commerce","Tests End-to-End","Parcours achat complet","0","0","0","1","0"
"Drest.tn E-Commerce","Navigation","Navigation vers la section Beauté","0","0","0","1","0"
"Drest.tn E-Commerce","Page d'accueil","","0","1","0","0","0"
"Drest.tn E-Commerce","Recherche de produits","","0","1","0","0","0"
"Drest.tn E-Commerce","Tests End-to-End","Parcours connexion invalide","0","0","0","1","0"
"Drest.tn E-Commerce","Panier d'achat","Panier non vide après ajout","0","0","0","1","0"
"Drest.tn E-Commerce","Page d'accueil","Logo Drest","0","0","0","1","0"
"Drest.tn E-Commerce","Recherche de produits","Recherche avec mot-clé valide","0","0","0","1","0"
"Drest.tn E-Commerce","Navigation","","0","1","0","0","0"
"Drest.tn E-Commerce","Catalogue Produits","","0","1","0","0","0"
"Drest.tn E-Commerce","Authentification","Connexion avec email format invalide","0","0","0","1","0"
"Drest.tn E-Commerce","Page d'accueil","Titre de la page","0","0","0","1","0"
